DATE_FROM;DATE_TO;GATE_OPEN_TIME;GATE_CLOSURE_TIME;ALLOCATION_DEADLINE;PRODUCT;TOTAL_DEMAND ;GERMANY_DEMAND
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1497 MW;528 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1498 MW;529 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1499 MW;530 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1500 MW;531 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1501 MW;532 MW
01/03/2025;01/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1502 MW;533 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1503 MW;534 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1504 MW;535 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1505 MW;536 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1506 MW;537 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1507 MW;538 MW
02/03/2025;02/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1508 MW;539 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1509 MW;540 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1510 MW;541 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1511 MW;542 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1512 MW;543 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1513 MW;544 MW
03/03/2025;03/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1514 MW;545 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1515 MW;546 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1516 MW;547 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1517 MW;548 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1518 MW;549 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1519 MW;550 MW
04/03/2025;04/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1520 MW;551 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1521 MW;552 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1522 MW;553 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1523 MW;554 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1524 MW;555 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1525 MW;556 MW
05/03/2025;05/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1526 MW;557 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1527 MW;558 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1528 MW;559 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1529 MW;560 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1530 MW;561 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1531 MW;562 MW
06/03/2025;06/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1532 MW;563 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1533 MW;564 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1534 MW;565 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1535 MW;566 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1536 MW;567 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1537 MW;568 MW
07/03/2025;07/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1538 MW;569 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1539 MW;570 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1540 MW;571 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1541 MW;572 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1542 MW;573 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1543 MW;574 MW
08/03/2025;08/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1544 MW;575 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1545 MW;576 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1546 MW;577 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1547 MW;578 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1548 MW;579 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1549 MW;580 MW
09/03/2025;09/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1550 MW;581 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1551 MW;582 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1552 MW;583 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1553 MW;584 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1554 MW;585 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1555 MW;586 MW
10/03/2025;10/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1556 MW;587 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1557 MW;588 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1558 MW;589 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1559 MW;590 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1560 MW;591 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1561 MW;592 MW
11/03/2025;11/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1562 MW;593 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1563 MW;594 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1564 MW;595 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1565 MW;596 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1566 MW;597 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1567 MW;598 MW
12/03/2025;12/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1568 MW;599 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1569 MW;600 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1570 MW;601 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1571 MW;602 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1572 MW;603 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1573 MW;604 MW
13/03/2025;13/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1574 MW;605 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1575 MW;606 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1576 MW;607 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1577 MW;608 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1578 MW;609 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1579 MW;610 MW
14/03/2025;14/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1580 MW;611 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1581 MW;612 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1582 MW;613 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1583 MW;614 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1584 MW;615 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1585 MW;616 MW
15/03/2025;15/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1586 MW;617 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1587 MW;618 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1588 MW;619 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1589 MW;620 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1590 MW;621 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1591 MW;622 MW
16/03/2025;16/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1592 MW;623 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1593 MW;624 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1594 MW;625 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1595 MW;626 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1596 MW;627 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1597 MW;628 MW
17/03/2025;17/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1598 MW;629 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1599 MW;630 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1600 MW;631 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1601 MW;632 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1602 MW;633 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1603 MW;634 MW
18/03/2025;18/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1604 MW;635 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1605 MW;636 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1606 MW;637 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1607 MW;638 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1608 MW;639 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1609 MW;640 MW
19/03/2025;19/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1610 MW;641 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1611 MW;642 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1612 MW;643 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1613 MW;644 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1614 MW;645 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1615 MW;646 MW
20/03/2025;20/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1616 MW;647 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1617 MW;648 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1618 MW;649 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1619 MW;650 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1620 MW;651 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1621 MW;652 MW
21/03/2025;21/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1622 MW;653 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1623 MW;654 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1624 MW;655 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1625 MW;656 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1626 MW;657 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1627 MW;658 MW
22/03/2025;22/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1628 MW;659 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1629 MW;660 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1630 MW;661 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1631 MW;662 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1632 MW;663 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1633 MW;664 MW
23/03/2025;23/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1634 MW;665 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1635 MW;666 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1636 MW;667 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1637 MW;668 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1638 MW;669 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1639 MW;670 MW
24/03/2025;24/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1640 MW;671 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1641 MW;672 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1642 MW;673 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1643 MW;674 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1644 MW;675 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1645 MW;676 MW
25/03/2025;25/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1646 MW;677 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1647 MW;678 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1648 MW;679 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1649 MW;680 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1650 MW;681 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1651 MW;682 MW
26/03/2025;26/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1652 MW;683 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1653 MW;684 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1654 MW;685 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1655 MW;686 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1656 MW;687 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1657 MW;688 MW
27/03/2025;27/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1658 MW;689 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1659 MW;690 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1660 MW;691 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1661 MW;692 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1662 MW;693 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1663 MW;694 MW
28/03/2025;28/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1664 MW;695 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1665 MW;696 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1666 MW;697 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1667 MW;698 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1668 MW;699 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1669 MW;700 MW
29/03/2025;29/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1670 MW;701 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1671 MW;702 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1672 MW;703 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1673 MW;704 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1674 MW;705 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1675 MW;706 MW
30/03/2025;30/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1676 MW;707 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_00_04;1677 MW;708 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_04_08;1678 MW;709 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_08_12;1679 MW;710 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_12_16;1680 MW;711 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_16_20;1681 MW;712 MW
31/03/2025;31/03/2025;11:00:00;08:00:00;08:30:00;NEGPOS_20_24;1682 MW;713 MW
